2832,"সার, আঁর ছোট বাই, বয়স ২৪। দিনত একবার টয়লেট গরের। ৩ বেলা ভাত হন, ব๊ะলে টয়লেটর পরিমাণ অনেক কম অয়। টয়লেট গইত্তে সমত লাগে আর চাপাচাপি গইত্তে অয়। পল্লী গ্রামত রন, এইল্লাই গম ডক্টর নাই হইলেই চলের। কিয়ু মেডিসিনর নাম হই দিলে উপকার অইত।"
25302,"৩ - ৪ বছর ধরি গম গরি ঘুম ন অয়, গত ১ মাস ধরি ইয়েন বেইশ কষ্ট দিতেছে। হন উপায়ত ঘুম ন আয়ে দে। * পিসাবে সমস্যা অইয়েরে, পিসাব গরি আইলেও মনে অয় আঁডাই রইয়ে। * ২০১০ সালরতুন কম্পিউটারত কাম গরি, বেইশ সময় বেইয়ি কাম গরি। আঁর একজনর পরামিশে ক্যালসিয়াম ওষধ খাইছি কাইন্দিন, সে সময়ত ব্যাতা ন ফাই। ৭ দিন অইল বাদ দিছি, আঁইলে সমস্যা অয়। ঘুমাইতে গেলে এক বাবে ৫ - ১০ মিনিট শুই থাইকতো ন ফারি, ব্যাতায় পাছ ফিরি ঘুমাইতো অয়। * সব সময় বমি বমি লাগে। ফেড ভরির আগে মনে অয় ফেড ভরি গেইয়্যে আর বমি আয়ে। তিনডা আঁলাদা সমস্যা, হন বিভাগর ডাক্তার দেখাইয়ুম বা কি গইরম যদি পরামিশ দিতেন দে।"
26082,আঁর বয়স বিয়াল্লিশ বছর । দুই মাস আঁগে ক্রিমির ট্যাবলেট এলম্যাক্স পর পর দুইদিন খাইয়েরে ভালা অইয়ি । এহন আবার চউড়া চউড়া ক্রিমির বাইচ্চা পায়খানর রাস্তাত বাইর অইয়ের । মলদ্বারত চুলকাইয়্যে আর পানি দরজে । আবারও আইজকে এট্টা ক্রিমির ট্যাবলেট এ্যালম্যাক্স খাইয়ি । সহি চিকিৎসা লাগি পরামশ চাই ।
13060,"গলা দুই ভাগত কানর তলত বদ্দা। দুই দিন কম আছিল, গত রাইত আজর দি বেশি। বদ্দার লগে মনে অইল্যে দানার লাহান কিচ্ছু গলাত আডকি আছে। মাঝে মাঝে ছোট ছোট হাবার কুনার লাহান দানা বাইর অর। আজ ঢোক গিলিতে ন ফারি, বদ্দা লাগের, হেই লগে মনে অইল্যে খাডা লাগি আছে পুরা গলাত, বিশেষ গরি ওপরর তালু আর বাঘত। ই অবস্থাদ্দে গরনীয় কি, পরামর্শ দি সাহায্য গইরবা।"
12891,"ডাক্তার সাব অলে, আঁর বয়স বত্রিশ, আঁর হাইপারটেনশন আছে আরে পইত্তেন মেডিসিন লয়্যি। আঁর ডায়াবেটিকস নাই। আঁই পইত্তেন দু'চামচ মধু হাই চা দি। হেই হালতত কি হনো জটিলতা অইবদে নি? হেই হালতত ডায়াবেটিস অইবার সম্ভবনা আছে নি? নোট: আড্ডা দিন আগত নির্ণয় গইর্যি। হাবর দু'ঘন্টা পরত খালি ফেডত সুগার ৬.৩। ধন্যবাদ আরে ভালা থাইকুন।"
15231,"আঁ'র হাইবার হনিক্কন পর পর ফেট ফুইল্লি উডে। ডেকুর উডে নিশ্বাসত সমস্যা অয়, ফেটত খাদ্দ জমত বাইন্ধা থাহে, গাত চুল্কানি অয়, গেছর বড়ি পইত্তেক হাইলে সমস্যাডা আরেও বেশি অয়, ফেটর এছিডর মাতরা হমি গেলে বাডাইবার উফাই কি, ইনাত্তুন হনাত্তুন সমাধান ফাওয়া যার।"
6748,"আঁর হমকদিন ধরি গলর ভিতরত মাঅষ বাড়ি যে, নিঅশ লইত মুশকিল অয়, ভিতরাত্তুন হেছকি উডার সমত গলত বাইজ্জা থাকে, আর গলর ভিতরত লোড লোড থাকে। আঁই ডাক্তার দেহাইত গেইয়্যুম কিত্তু নাঅক, কান, গলা, বিশেষজ্ঞ ডাক্তার পাই ন। এহন আঁই কি গরিম?"
8292,"আঁর পোলার বয়স দঁশ মাছ, আইজক্কালততুন আমাশা, আইজ্যা হন্ডর আমাশা অর। বিয়াল্যা বায়না গরি হন্ডে বাইর অর, দিনত চাইর-পাঁচ বঁআইর। গত বিশ দিন আগে ডাইরিয়া ওইসিল, আইসিডিডিআরবি'ত আসিল, বাদত ভালা ওই যাইয়্যে। অহাত্তি করি ফিরি আমাশা অর, এই অবস্থা'ত হরিবল্লা জানাইবেন প্লিজ।"
6103,আঁই মার বয়স ত্রেচইয়াল্লিশ বছর। তাঁর হাই প্রেসারর সমস্যা আছে। গত তিন চাইর দিন আগত তাঁর এইয়ুন হাই প্রেসারর সমস্যা অইছিল ( দেড়শ / একশ ) । ইয়ার পরতে তাঁর আত ঘুরার দে আর শরীল বেশি দুর্বল। তিনি স্বাভাবিক মতন আডা চলা আর কামকাজ গরিত ন পারের। এইয়ুন আবস্থা তাঁর করনিয় কি দে? ( তাঁর কোলেস্টেরলর সমস্যা আছে দে আর তিনি পইত্তেন ডাক্তরর চিকিৎসা গরের আর তাঁর হন ডায়াবেটিস নাই ) ।
18901,"আসসালামু আলাইকুম , কন্টিনিউয়াস শুক্কা কাশি অইয়ের দে। ২ দিন ধরি । ইতার আগে গরমত হন দিন টান্ডা খাওয়া অইয়ে। এসিদ থাইক্কা অইয়ে। অনান্ন তত্ত: টান্ডা খাবার / পানিত এলার্জি আছে। বয়স ২৪। অনান্ন এলার্জির সমস্যা আছে, এইল্লাই চিংড়ি / গরু গোস্ত খাওয়া মানা আছে। তাপমাত্রা স্বাভাবিক। কাশীর লাই কি মেডিসিন / চিইকিস্সা লওয়া যারিবো দে?"
